id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,effective_bst,bst_efficiency,speed_tier,cluster_id,assigned_role
311,plusle,electric,,plus,lightning-rod,,60,50,40,85,75,95,4.2,0.4,405,2400,4500,0.5882352249135029,230,175,355,0.8765432098765432,2,1,Special Sweeper
312,minun,electric,,minus,volt-absorb,,60,40,50,75,85,95,4.2,0.4,405,3000,5100,0.5333332622222317,210,195,365,0.9012345679012346,2,1,Special Sweeper
313,volbeat,bug,,illuminate,swarm,prankster,65,73,75,47,85,85,17.7,0.7,430,4875,5525,1.553191158895498,205,225,383,0.8906976744186047,2,1,Physical Sweeper
314,illumise,bug,,oblivious,tinted-lens,prankster,65,47,75,73,85,85,17.7,0.6,430,4875,5525,0.6438355282417084,205,225,383,0.8906976744186047,2,1,Special Sweeper
315,roselia,grass,poison,natural-cure,poison-point,leaf-guard,50,60,45,100,80,65,2.0,0.3,400,2250,4000,0.599999940000006,225,175,340,0.85,1,1,Support
316,gulpin,poison,,liquid-ooze,sticky-hold,gluttony,70,43,53,43,53,40,10.3,0.4,302,3710,3710,0.9999997674419144,126,176,259,0.8576158940397351,0,4,Support
317,swalot,poison,,liquid-ooze,sticky-hold,gluttony,100,73,83,73,83,55,80.0,1.7,467,8300,8300,0.9999998630137172,201,266,394,0.8436830835117773,1,7,Tank/Wall
318,carvanha,dark,water,rough-skin,speed-boost,,45,90,20,65,20,65,20.8,0.8,305,900,900,1.3846151715976658,220,85,240,0.7868852459016393,1,4,Support
319,sharpedo,dark,water,rough-skin,speed-boost,,70,120,40,95,40,95,88.8,1.8,460,2800,2800,1.263157761772867,310,150,365,0.7934782608695652,2,1,Physical Sweeper
320,wailmer,water,,water-veil,oblivious,pressure,130,70,35,70,35,60,130.0,2.0,400,4550,4550,0.9999998571428776,200,200,330,0.825,1,1,Support
321,wailord,water,,water-veil,oblivious,pressure,170,90,45,90,45,60,398.0,14.5,500,7650,7650,0.9999998888889012,240,260,410,0.82,1,7,Bulky Offense
322,numel,fire,ground,oblivious,simple,own-tempo,60,60,40,65,45,35,24.0,0.7,305,2400,2700,0.9230767810651106,160,145,245,0.8032786885245902,0,4,Support
323,camerupt,fire,ground,magma-armor,solid-rock,anger-point,70,100,70,105,75,40,220.0,1.9,460,4900,5250,0.9523808616780132,245,215,360,0.782608695652174,0,1,Support
324,torkoal,fire,,white-smoke,drought,shell-armor,70,85,140,85,70,20,80.4,0.5,470,9800,4900,0.999999882352955,190,280,385,0.8191489361702128,0,7,Tank/Wall
325,spoink,psychic,,thick-fat,own-tempo,gluttony,60,25,35,70,80,60,30.6,0.7,330,2100,4800,0.3571428061224562,155,175,305,0.9242424242424242,1,4,Support
326,grumpig,psychic,,thick-fat,own-tempo,gluttony,80,45,65,90,110,80,71.5,0.9,470,5200,8800,0.4999999444444506,215,255,425,0.9042553191489362,2,7,Special Sweeper
327,spinda,normal,,own-tempo,tangled-feet,contrary,60,60,60,60,60,60,5.0,1.1,360,3600,3600,0.9999998333333612,180,180,300,0.8333333333333334,1,4,Support
328,trapinch,ground,,hyper-cutter,arena-trap,sheer-force,45,100,45,45,45,10,15.0,0.7,290,2025,2025,2.2222217283951715,155,135,245,0.8448275862068966,0,4,Support
329,vibrava,dragon,ground,levitate,,,50,70,50,50,50,70,15.3,1.1,340,2500,2500,1.399999720000056,190,150,290,0.8529411764705882,1,4,Support
330,flygon,dragon,ground,levitate,,,80,100,80,80,80,100,82.0,2.0,520,6400,6400,1.2499998437500195,280,240,440,0.8461538461538461,3,0,Physical Sweeper
331,cacnea,grass,,sand-veil,water-absorb,,50,85,40,85,40,35,51.3,0.4,335,2000,2000,0.999999882352955,205,130,250,0.746268656716418,0,4,Support
332,cacturne,dark,grass,sand-veil,water-absorb,,70,115,60,115,60,55,77.4,1.3,475,4200,4200,0.9999999130434858,285,190,360,0.7578947368421053,1,1,Support
333,swablu,flying,normal,natural-cure,cloud-nine,,45,40,60,40,75,50,1.2,0.4,310,2700,3375,0.9999997500000624,130,180,270,0.8709677419354839,1,4,Support
334,altaria,dragon,flying,natural-cure,cloud-nine,,75,70,90,70,105,80,20.6,1.1,490,6750,7875,0.9999998571428776,220,270,420,0.8571428571428571,2,7,Hybrid Offense
335,zangoose,normal,,immunity,toxic-boost,,73,115,60,60,60,90,40.3,1.3,458,4380,4380,1.9166663472222751,265,193,398,0.868995633187773,2,1,Physical Sweeper
336,seviper,poison,,shed-skin,infiltrator,,73,100,60,100,60,65,52.5,2.7,458,4380,4380,0.99999990000001,265,193,358,0.7816593886462883,1,1,Support
337,lunatone,psychic,rock,levitate,,,90,55,65,95,85,70,168.0,1.0,460,5850,7650,0.5789473074792307,220,240,405,0.8804347826086957,1,7,Bulky Offense
338,solrock,psychic,rock,levitate,,,90,95,85,55,65,70,154.0,1.2,460,7650,5850,1.7272724132231976,220,240,405,0.8804347826086957,1,3,Bulky Offense
339,barboach,ground,water,oblivious,anticipation,hydration,50,48,43,46,41,60,1.9,0.4,288,2150,2050,1.0434780340265142,154,134,242,0.8402777777777778,1,4,Support
340,whiscash,ground,water,oblivious,anticipation,hydration,110,78,73,76,71,60,23.6,0.9,468,8030,7810,1.0263156544321508,214,254,392,0.8376068376068376,1,7,Tank/Wall
341,corphish,water,,hyper-cutter,shell-armor,adaptability,43,80,65,50,35,35,11.5,0.6,308,2795,1505,1.599999680000064,165,143,258,0.8376623376623377,0,4,Support
342,crawdaunt,dark,water,hyper-cutter,shell-armor,adaptability,63,120,85,90,55,55,32.8,1.1,468,5355,3465,1.3333331851852015,265,203,378,0.8076923076923077,1,1,Support
343,baltoy,ground,psychic,levitate,,,40,40,55,40,70,55,21.5,0.5,300,2200,2800,0.9999997500000624,135,165,260,0.8666666666666667,1,4,Support
344,claydol,ground,psychic,levitate,,,60,70,105,70,120,75,108.0,1.5,500,6300,7200,0.9999998571428776,215,285,430,0.86,1,7,Tank/Wall
345,lileep,grass,rock,suction-cups,storm-drain,,66,41,77,61,87,23,23.8,1.0,355,5082,5742,0.6721310373555676,125,230,314,0.8845070422535212,0,4,Tank/Wall
346,cradily,grass,rock,suction-cups,storm-drain,,86,81,97,81,107,43,60.4,1.5,495,8342,9202,0.9999998765432252,205,290,414,0.8363636363636363,0,7,Tank/Wall
347,anorith,bug,rock,battle-armor,swift-swim,,45,95,50,40,50,75,12.5,0.7,355,2250,2250,2.374999406250148,210,145,315,0.8873239436619719,1,4,Support
348,armaldo,bug,rock,battle-armor,swift-swim,,75,125,100,70,80,45,68.2,1.5,495,7500,6000,1.7857140306122812,240,255,425,0.8585858585858586,0,3,Bulky Offense
349,feebas,water,,swift-swim,oblivious,adaptability,20,15,20,10,55,80,7.4,0.6,200,400,1100,1.4999985000015,105,95,190,0.95,2,4,Physical Sweeper
350,milotic,water,,marvel-scale,competitive,cute-charm,95,60,79,100,125,81,162.0,6.2,540,7505,11875,0.599999940000006,241,299,480,0.8888888888888888,2,7,Special Sweeper
351,castform,normal,,forecast,,,70,70,70,70,70,70,0.8,0.3,420,4900,4900,0.9999998571428776,210,210,350,0.8333333333333334,1,1,Support
352,kecleon,normal,,color-change,protean,,60,90,70,60,120,40,22.0,1.0,440,4200,7200,1.4999997500000417,190,250,380,0.8636363636363636,0,7,Tank/Wall
353,shuppet,ghost,,insomnia,frisk,cursed-body,44,75,35,63,33,45,2.3,0.6,295,1540,1452,1.1904760015117457,183,112,232,0.7864406779661017,0,4,Support
354,banette,ghost,,insomnia,frisk,cursed-body,64,115,65,83,63,65,12.5,1.1,455,4160,4032,1.3855420017419275,263,192,372,0.8175824175824176,1,1,Support
355,duskull,ghost,,levitate,frisk,,20,40,90,30,90,25,15.0,0.8,295,1800,1800,1.333332888889037,95,200,265,0.8983050847457628,0,4,Support
356,dusclops,ghost,,pressure,frisk,,40,70,130,60,130,25,30.6,1.6,455,5200,5200,1.1666664722222546,155,300,395,0.8681318681318682,0,7,Tank/Wall
357,tropius,flying,grass,chlorophyll,solar-power,harvest,99,68,83,72,87,51,100.0,2.0,460,8217,8613,0.9444443132716231,191,269,392,0.8521739130434782,1,7,Tank/Wall
358,chimecho,psychic,,levitate,,,75,50,80,95,90,65,1.0,0.6,455,6000,6750,0.526315734072028,210,245,405,0.8901098901098901,1,7,Tank/Wall
359,absol,dark,,pressure,super-luck,justified,65,130,60,75,60,75,47.0,1.2,465,3900,3900,1.733333102222253,280,185,390,0.8387096774193549,1,1,Support
360,wynaut,psychic,,shadow-tag,telepathy,,95,23,48,23,48,23,14.0,0.6,260,4560,4560,0.9999995652175804,69,191,237,0.9115384615384616,0,4,Support
361,snorunt,ice,,inner-focus,ice-body,moody,50,50,50,50,50,50,16.8,0.7,300,2500,2500,0.99999980000004,150,150,250,0.8333333333333334,1,4,Support
362,glalie,ice,,inner-focus,ice-body,moody,80,80,80,80,80,80,256.5,1.5,480,6400,6400,0.9999998750000156,240,240,400,0.8333333333333334,2,1,Hybrid Offense
363,spheal,ice,water,thick-fat,ice-body,oblivious,70,40,50,55,50,25,39.5,0.8,290,3500,3500,0.7272725950413463,120,170,250,0.8620689655172413,0,4,Support
364,sealeo,ice,water,thick-fat,ice-body,oblivious,90,60,70,75,70,45,87.6,1.1,410,6300,6300,0.7999998933333475,180,230,350,0.8536585365853658,0,7,Tank/Wall
365,walrein,ice,water,thick-fat,ice-body,oblivious,110,80,90,95,90,65,150.6,1.4,530,9900,9900,0.8421051745152448,240,290,450,0.8490566037735849,1,7,Tank/Wall
366,clamperl,water,,shell-armor,rattled,,35,64,85,74,55,32,52.5,0.4,345,2975,1925,0.8648647479912502,170,175,281,0.8144927536231884,0,4,Support
367,huntail,water,,swift-swim,water-veil,,55,104,105,94,75,52,27.0,1.7,485,5775,4125,1.1063828610231,250,235,391,0.8061855670103093,1,1,Bulky Offense
368,gorebyss,water,,swift-swim,hydration,,55,84,105,114,75,52,22.6,1.8,485,5775,4125,0.7368420406278912,250,235,401,0.8268041237113402,1,1,Bulky Offense
369,relicanth,rock,water,swift-swim,rock-head,sturdy,100,90,130,45,65,55,23.4,1.0,485,13000,6500,1.9999995555556545,190,295,440,0.9072164948453608,1,3,Tank/Wall
370,luvdisc,water,,swift-swim,hydration,,43,30,55,40,65,97,8.7,0.6,330,2365,2795,0.7499998125000468,167,163,300,0.9090909090909092,2,4,Special Sweeper
371,bagon,dragon,,rock-head,sheer-force,,45,75,60,40,30,50,42.1,0.6,300,2700,1350,1.874999531250117,165,135,260,0.8666666666666667,1,4,Support
372,shelgon,dragon,,rock-head,overcoat,,65,95,100,60,50,50,110.5,1.1,420,6500,3250,1.5833330694444885,205,215,360,0.8571428571428571,1,1,Support
373,salamence,dragon,flying,intimidate,moxie,,95,135,80,110,80,100,102.6,1.5,600,7600,7600,1.2272726157024894,345,255,490,0.8166666666666667,3,0,Physical Sweeper
374,beldum,psychic,steel,clear-body,light-metal,,40,55,80,35,60,30,95.2,0.6,300,3200,2400,1.5714281224491078,120,180,265,0.8833333333333333,0,4,Support
375,metang,psychic,steel,clear-body,light-metal,,60,75,100,55,80,50,202.5,1.2,420,6000,4800,1.3636361157025243,180,240,365,0.8690476190476191,1,1,Tank/Wall
376,metagross,psychic,steel,clear-body,light-metal,,80,135,130,95,90,70,550.0,1.6,600,10400,7200,1.4210524819944754,300,300,505,0.8416666666666667,1,3,Bulky Offense
377,regirock,rock,,clear-body,sturdy,,80,100,200,50,100,50,230.0,1.7,580,16000,8000,1.99999960000008,200,380,530,0.913793103448276,1,3,Tank/Wall
378,regice,ice,,clear-body,ice-body,,80,50,100,100,200,50,175.0,1.8,580,8000,16000,0.4999999500000049,200,380,530,0.913793103448276,1,7,Tank/Wall
379,registeel,steel,,clear-body,light-metal,,80,75,150,75,150,50,205.0,1.9,580,12000,12000,0.9999998666666844,200,380,505,0.8706896551724138,1,7,Tank/Wall
380,latias,dragon,psychic,levitate,,,80,80,90,110,130,110,40.0,1.4,600,7200,10400,0.7272726611570308,300,300,520,0.8666666666666667,3,2,Special Sweeper
381,latios,dragon,psychic,levitate,,,80,90,80,130,110,110,60.0,2.0,600,6400,8800,0.6923076390532585,330,270,510,0.85,3,0,Special Sweeper
382,kyogre,water,,drizzle,,,100,100,90,150,140,90,352.0,4.5,670,9000,14000,0.6666666222222252,340,330,570,0.8507462686567164,2,2,Special Sweeper
383,groudon,ground,,drought,,,100,150,140,100,90,90,950.0,3.5,670,14000,9000,1.499999850000015,340,330,570,0.8507462686567164,2,2,Physical Sweeper
384,rayquaza,dragon,flying,air-lock,,,105,150,90,150,90,95,206.5,7.0,680,9450,9450,0.9999999333333378,395,285,530,0.7794117647058824,2,2,Hybrid Offense
385,jirachi,psychic,steel,serene-grace,,,100,100,100,100,100,100,1.1,0.3,600,10000,10000,0.99999990000001,300,300,500,0.8333333333333334,3,2,Hybrid Offense
386,deoxys-normal,psychic,,pressure,,,50,150,50,150,50,150,60.8,1.7,600,2500,2500,0.9999999333333378,450,150,450,0.75,4,0,Hybrid Offense
387,turtwig,grass,,overgrow,shell-armor,,55,68,64,45,55,31,10.2,0.4,318,3520,3025,1.5111107753087163,144,174,273,0.8584905660377359,0,4,Support
388,grotle,grass,,overgrow,shell-armor,,75,89,85,55,65,36,97.0,1.1,405,6375,4875,1.6181815239669954,180,225,350,0.8641975308641975,0,3,Tank/Wall
389,torterra,grass,ground,overgrow,shell-armor,,95,109,105,75,85,56,310.0,2.2,525,9975,8075,1.4533331395555813,240,285,450,0.8571428571428571,1,7,Tank/Wall
390,chimchar,fire,,blaze,iron-fist,,44,58,44,58,44,61,6.2,0.5,309,1936,1936,0.9999998275862366,177,132,251,0.8122977346278317,1,4,Support
391,monferno,fighting,fire,blaze,iron-fist,,64,78,52,78,52,81,22.0,0.9,405,3328,3328,0.999999871794888,237,168,327,0.8074074074074075,2,1,Hybrid Offense
392,infernape,fighting,fire,blaze,iron-fist,,76,104,71,104,71,108,55.0,1.2,534,5396,5396,0.9999999038461632,316,218,430,0.8052434456928839,3,0,Hybrid Offense
393,piplup,water,,torrent,competitive,,53,51,53,61,56,40,5.2,0.4,314,2809,2968,0.8360654367105841,152,162,263,0.8375796178343949,0,4,Support
394,prinplup,water,,torrent,competitive,,64,66,68,81,76,50,23.0,0.8,405,4352,4864,0.8148147142204056,197,208,339,0.837037037037037,1,1,Support
395,empoleon,steel,water,torrent,competitive,,84,86,88,111,101,60,84.5,1.7,530,7392,8484,0.7747747049752518,257,273,444,0.8377358490566038,1,7,Bulky Offense
396,starly,flying,normal,keen-eye,reckless,,40,55,30,30,30,60,2.0,0.3,245,1200,1200,1.833332722222426,145,100,215,0.8775510204081632,1,4,Support
397,staravia,flying,normal,intimidate,reckless,,55,75,50,40,40,80,15.5,0.6,340,2750,2200,1.874999531250117,195,145,300,0.8823529411764706,2,4,Physical Sweeper
398,staraptor,flying,normal,intimidate,reckless,,85,120,70,50,60,100,24.9,1.2,485,5950,5100,2.3999995200000956,270,215,435,0.8969072164948454,3,0,Physical Sweeper
399,bidoof,normal,,simple,unaware,moody,59,45,40,35,40,31,20.0,0.5,250,2360,2360,1.2857139183674515,111,139,215,0.86,0,4,Support
400,bibarel,normal,water,simple,unaware,moody,79,85,60,55,60,71,31.5,1.0,410,4740,4740,1.5454542644628608,211,199,355,0.8658536585365854,1,1,Support
401,kricketot,bug,,shed-skin,run-away,,37,25,41,25,41,25,2.2,0.3,194,1517,1517,0.99999960000016,75,119,169,0.8711340206185567,0,4,Support
402,kricketune,bug,,swarm,technician,,77,85,51,55,51,65,25.5,1.0,384,3927,3927,1.5454542644628608,205,179,329,0.8567708333333334,1,1,Support
403,shinx,electric,,rivalry,intimidate,guts,45,65,34,40,34,45,9.5,0.5,263,1530,1530,1.6249995937501014,150,113,223,0.8479087452471483,0,4,Support
404,luxio,electric,,rivalry,intimidate,guts,60,85,49,60,49,60,30.5,0.9,363,2940,2940,1.416666430555595,205,158,303,0.8347107438016529,1,4,Support
405,luxray,electric,,rivalry,intimidate,guts,80,120,79,95,79,70,42.0,1.4,523,6320,6320,1.263157761772867,285,238,428,0.8183556405353728,1,1,Bulky Offense
406,budew,grass,poison,natural-cure,poison-point,leaf-guard,40,30,35,50,70,55,1.2,0.2,280,1400,2800,0.5999998800000239,135,145,250,0.8928571428571429,1,4,Support
407,roserade,grass,poison,natural-cure,poison-point,technician,60,70,65,125,105,90,14.5,0.9,515,3900,6300,0.5599999552000036,285,230,445,0.8640776699029126,2,1,Special Sweeper
408,cranidos,rock,,mold-breaker,sheer-force,,67,125,40,30,30,58,31.5,0.9,350,2680,2010,4.1666652777782405,213,137,320,0.9142857142857144,1,6,Support
409,rampardos,rock,,mold-breaker,sheer-force,,97,165,60,65,50,58,102.5,1.6,495,5820,4850,2.538461147929054,288,207,430,0.8686868686868687,1,3,Support
410,shieldon,rock,steel,sturdy,soundproof,,30,42,118,42,88,30,57.0,0.5,350,3540,2640,0.9999997619048184,114,236,308,0.88,0,4,Tank/Wall
411,bastiodon,rock,steel,sturdy,soundproof,,60,52,168,47,138,30,149.5,1.3,495,10080,8280,1.1063827433228206,129,366,448,0.9050505050505052,0,7,Tank/Wall
412,burmy,bug,,shed-skin,overcoat,,40,29,45,29,45,36,3.4,0.2,224,1800,1800,0.9999996551725328,94,130,195,0.8705357142857143,0,4,Support
413,wormadam-plant,bug,grass,anticipation,overcoat,,60,59,85,79,105,36,6.5,0.5,424,5100,6300,0.7468353485018546,174,250,365,0.8608490566037735,0,7,Tank/Wall
414,mothim,bug,flying,swarm,tinted-lens,,70,94,50,94,50,66,23.3,0.9,424,3500,3500,0.9999998936170326,254,170,330,0.7783018867924528,1,1,Support
415,combee,bug,flying,honey-gather,hustle,,30,30,42,30,42,70,5.5,0.3,244,1260,1260,0.9999996666667778,130,114,214,0.8770491803278688,1,4,Support
416,vespiquen,bug,flying,pressure,unnerve,,70,80,102,80,102,40,38.5,1.2,474,7140,7140,0.9999998750000156,200,274,394,0.8312236286919831,0,7,Tank/Wall
417,pachirisu,electric,,run-away,pickup,volt-absorb,60,45,70,45,90,95,3.9,0.4,405,4200,5400,0.9999997777778272,185,220,360,0.8888888888888888,2,1,Hybrid Offense
418,buizel,water,,swift-swim,water-veil,,55,65,35,60,30,85,29.5,0.7,330,1925,1650,1.0833331527778078,210,120,270,0.8181818181818182,2,4,Hybrid Offense
419,floatzel,water,,swift-swim,water-veil,,85,105,55,85,50,115,33.5,1.1,495,4675,4250,1.2352939723183562,305,190,410,0.8282828282828283,3,0,Physical Sweeper
420,cherubi,grass,,chlorophyll,,,45,35,45,62,53,35,3.3,0.4,275,2025,2385,0.5645160379812841,132,143,240,0.8727272727272727,0,4,Support
421,cherrim,grass,,flower-gift,,,70,60,70,87,78,85,9.3,0.5,450,4900,5460,0.6896550931430927,232,218,390,0.8666666666666667,2,1,Special Sweeper
422,shellos,water,,sticky-hold,storm-drain,sand-force,76,48,48,57,62,34,6.3,0.3,325,3648,4712,0.8421051154201551,139,186,277,0.8523076923076923,0,4,Support
423,gastrodon,ground,water,sticky-hold,storm-drain,sand-force,111,83,68,92,82,39,29.9,0.9,475,7548,9102,0.902173814981107,214,261,392,0.8252631578947368,0,7,Tank/Wall
424,ambipom,normal,,technician,pickup,skill-link,75,100,66,60,66,115,20.3,1.2,482,4950,4950,1.666666388888935,275,207,422,0.8755186721991701,3,0,Physical Sweeper
425,drifloon,flying,ghost,aftermath,unburden,flare-boost,90,50,34,60,44,70,1.2,0.4,348,3060,3960,0.8333331944444675,180,168,298,0.8563218390804598,1,4,Support
426,drifblim,flying,ghost,aftermath,unburden,flare-boost,150,80,44,90,54,80,15.0,1.2,498,6600,8100,0.8888887901234678,250,248,418,0.8393574297188755,2,7,Hybrid Offense
427,buneary,normal,,run-away,klutz,limber,55,66,44,44,56,85,5.5,0.4,350,2420,3080,1.4999996590909863,195,155,306,0.8742857142857143,2,1,Physical Sweeper
428,lopunny,normal,,cute-charm,klutz,limber,65,76,84,54,96,105,33.3,1.2,480,5460,6240,1.4074071467764542,235,245,426,0.8875,3,0,Physical Sweeper
429,mismagius,ghost,,levitate,,,60,60,60,105,105,105,4.4,0.9,495,3600,6300,0.5714285170068079,270,225,435,0.8787878787878788,3,0,Special Sweeper
430,honchkrow,dark,flying,insomnia,super-luck,moxie,100,125,52,105,52,71,27.3,0.9,505,5200,5200,1.1904760770975165,301,204,400,0.7920792079207921,1,1,Support
431,glameow,normal,,limber,own-tempo,keen-eye,49,55,42,42,37,85,3.9,0.5,310,2058,1813,1.3095234977325003,182,128,268,0.864516129032258,2,4,Physical Sweeper
432,purugly,normal,,thick-fat,own-tempo,defiant,71,82,64,64,59,112,43.8,1.0,452,4544,4189,1.2812497998047188,258,194,388,0.8584070796460177,3,0,Physical Sweeper
433,chingling,psychic,,levitate,,,45,30,50,65,50,45,0.6,0.2,285,2250,2250,0.4615383905325553,140,145,255,0.8947368421052632,0,4,Support
434,stunky,dark,poison,stench,aftermath,keen-eye,63,63,47,41,41,74,19.2,0.4,329,2961,2583,1.5365849910768312,178,151,288,0.8753799392097265,1,4,Support
435,skuntank,dark,poison,stench,aftermath,keen-eye,103,93,67,71,61,84,38.0,1.0,479,6901,6283,1.3098589704423984,248,231,408,0.8517745302713987,2,1,Physical Sweeper
436,bronzor,psychic,steel,levitate,heatproof,heavy-metal,57,24,86,24,86,23,60.5,0.5,300,4902,4902,0.9999995833335068,71,229,276,0.92,0,4,Tank/Wall
437,bronzong,psychic,steel,levitate,heatproof,heavy-metal,67,89,116,79,116,33,187.0,1.3,500,7772,7772,1.126582135875679,201,299,421,0.842,0,7,Tank/Wall
438,bonsly,rock,,sturdy,rock-head,rattled,50,80,95,10,45,10,15.0,0.5,290,4750,2250,7.999992000008,100,190,280,0.9655172413793104,0,6,Support
439,mime-jr,fairy,psychic,soundproof,filter,technician,20,25,45,70,90,60,13.0,0.6,310,900,1800,0.3571428061224562,155,155,285,0.9193548387096774,1,4,Support
440,happiny,normal,,natural-cure,serene-grace,friend-guard,100,5,5,15,65,30,24.4,0.6,220,500,6500,0.3333331111112593,50,170,215,0.9772727272727272,0,4,Support
441,chatot,flying,normal,keen-eye,tangled-feet,big-pecks,76,65,45,92,42,91,1.9,0.5,411,3420,3192,0.7065216623346019,248,163,346,0.8418491484184915,2,1,Special Sweeper
442,spiritomb,dark,ghost,pressure,infiltrator,,50,92,108,92,108,35,108.0,1.0,485,5400,5400,0.9999998913043596,219,266,393,0.8103092783505155,0,7,Tank/Wall
443,gible,dragon,ground,sand-veil,rough-skin,,58,70,45,40,45,42,20.5,0.7,300,2610,2610,1.7499995625001092,152,148,260,0.8666666666666667,0,4,Support
444,gabite,dragon,ground,sand-veil,rough-skin,,68,90,65,50,55,82,56.0,1.4,410,4420,3740,1.799999640000072,222,188,360,0.8780487804878049,2,1,Physical Sweeper
445,garchomp,dragon,ground,sand-veil,rough-skin,,108,130,95,80,85,102,95.0,1.9,600,10260,9180,1.6249997968750254,312,288,520,0.8666666666666667,3,2,Physical Sweeper
446,munchlax,normal,,pickup,thick-fat,gluttony,135,85,40,40,85,5,105.0,0.6,390,5400,11475,2.124999468750133,130,260,350,0.8974358974358975,0,3,Tank/Wall
447,riolu,fighting,,steadfast,inner-focus,prankster,40,70,40,35,40,60,20.2,0.7,285,1600,1600,1.9999994285715916,165,120,250,0.8771929824561403,1,4,Support
448,lucario,fighting,steel,steadfast,inner-focus,justified,70,110,70,115,70,90,54.0,1.2,525,4900,4900,0.9565216559546386,315,210,415,0.7904761904761904,2,1,Hybrid Offense
449,hippopotas,ground,,sand-stream,sand-force,,68,72,78,38,42,32,49.5,0.8,330,5304,2856,1.894736343490436,142,188,292,0.8848484848484849,0,4,Support
450,hippowdon,ground,,sand-stream,sand-force,,108,112,118,68,72,47,300.0,2.0,525,12744,7776,1.6470585813149143,227,298,457,0.8704761904761905,0,3,Tank/Wall
451,skorupi,bug,poison,battle-armor,sniper,keen-eye,40,50,90,30,55,65,12.0,0.8,330,3600,2200,1.6666661111112964,145,185,300,0.9090909090909092,1,4,Support
452,drapion,dark,poison,battle-armor,sniper,keen-eye,70,90,110,60,75,95,61.5,1.3,500,7700,5250,1.4999997500000417,245,255,440,0.88,2,1,Physical Sweeper
453,croagunk,fighting,poison,anticipation,dry-skin,poison-touch,48,61,40,61,40,50,23.0,0.7,300,1920,1920,0.9999998360656006,172,128,239,0.7966666666666666,1,4,Support
454,toxicroak,fighting,poison,anticipation,dry-skin,poison-touch,83,106,65,86,65,85,44.4,1.3,490,5395,5395,1.2325579962141864,277,213,404,0.8244897959183674,2,1,Physical Sweeper
455,carnivine,grass,,levitate,,,74,100,72,90,72,46,27.0,1.4,454,5328,5328,1.1111109876543346,236,218,364,0.801762114537445,0,1,Support
456,finneon,water,,swift-swim,storm-drain,water-veil,49,49,56,49,61,66,7.0,0.4,330,2744,2989,0.9999997959184088,164,166,281,0.8515151515151516,1,4,Support
457,lumineon,water,,swift-swim,storm-drain,water-veil,69,69,76,69,86,91,24.0,1.2,460,5244,5934,0.9999998550724848,229,231,391,0.85,2,1,Hybrid Offense
458,mantyke,flying,water,swift-swim,water-absorb,water-veil,45,20,50,60,120,50,65.0,1.0,345,2250,5400,0.333333277777787,130,215,325,0.9420289855072465,1,4,Support
459,snover,grass,ice,snow-warning,soundproof,,60,62,50,62,60,40,50.5,1.0,334,3000,3600,0.9999998387097034,164,170,272,0.8143712574850299,0,4,Support
460,abomasnow,grass,ice,snow-warning,soundproof,,90,92,75,92,85,60,135.5,2.2,494,6750,7650,0.9999998913043596,244,250,402,0.8137651821862348,1,7,Bulky Offense
461,weavile,dark,ice,pressure,pickpocket,,70,120,65,45,85,125,34.0,1.1,510,4550,5950,2.6666660740742056,290,220,465,0.9117647058823528,4,0,Physical Sweeper
462,magnezone,electric,steel,magnet-pull,sturdy,analytic,70,70,115,130,90,60,180.0,1.2,535,8050,6300,0.5384614970414233,260,275,465,0.8691588785046729,1,7,Bulky Offense
463,lickilicky,normal,,own-tempo,oblivious,cloud-nine,110,85,95,80,95,50,140.0,1.7,515,10450,10450,1.0624998671875163,215,300,435,0.8446601941747572,1,7,Tank/Wall
464,rhyperior,ground,rock,lightning-rod,solid-rock,reckless,115,140,130,55,55,40,282.8,2.4,535,14950,6325,2.5454540826447123,235,300,480,0.897196261682243,0,3,Tank/Wall
465,tangrowth,grass,,chlorophyll,leaf-guard,regenerator,100,100,125,110,50,50,128.6,2.0,535,12500,5000,0.9090908264462884,260,275,435,0.8130841121495327,1,7,Bulky Offense
466,electivire,electric,,motor-drive,vital-spirit,,75,123,67,95,85,95,138.6,1.8,540,5025,6375,1.2947367058171888,313,227,445,0.8240740740740741,2,0,Physical Sweeper
467,magmortar,fire,,flame-body,vital-spirit,,75,95,67,125,95,83,68.0,1.6,540,5025,7125,0.7599999392000049,303,237,445,0.8240740740740741,2,0,Special Sweeper
468,togekiss,fairy,flying,hustle,serene-grace,super-luck,85,50,95,120,115,80,38.0,1.5,545,8075,9775,0.4166666319444473,250,295,495,0.908256880733945,2,7,Special Sweeper
469,yanmega,bug,flying,speed-boost,tinted-lens,frisk,86,76,86,116,56,95,51.5,1.9,515,7396,4816,0.6551723573127278,287,228,439,0.8524271844660194,2,1,Special Sweeper
470,leafeon,grass,,leaf-guard,chlorophyll,,65,110,130,60,65,95,25.5,1.0,525,8450,4225,1.8333330277778288,265,260,465,0.8857142857142857,2,3,Physical Sweeper
471,glaceon,ice,,snow-cloak,ice-body,,65,60,110,130,95,65,25.9,0.8,525,7150,6175,0.4615384260355056,255,270,465,0.8857142857142857,1,7,Bulky Offense
