id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,bst_efficiency,speed_tier
190,aipom,normal,,run-away,pickup,skill-link,55,70,55,40,55,85,11.5,0.8,360,3025,3025,1.7499995625001092,195,165,1.0,2
191,sunkern,grass,,chlorophyll,solar-power,early-bird,30,30,30,30,30,30,1.8,0.3,180,900,900,0.9999996666667778,90,90,1.0,0
192,sunflora,grass,,chlorophyll,solar-power,early-bird,75,75,55,105,85,30,8.5,0.8,425,4125,6375,0.7142856462585099,210,215,1.0,0
193,yanma,bug,flying,speed-boost,compound-eyes,frisk,65,65,45,75,45,95,38.0,1.2,390,2925,2925,0.8666665511111264,235,155,1.0,2
194,wooper,water,ground,damp,water-absorb,unaware,55,45,45,25,25,15,8.5,0.4,210,2475,1375,1.799999280000288,85,125,1.0,0
195,quagsire,water,ground,damp,water-absorb,unaware,95,85,85,65,65,35,75.0,1.4,430,8075,6175,1.3076921065089067,185,245,1.0,0
196,espeon,psychic,,synchronize,magic-bounce,,65,65,60,130,95,110,26.5,0.9,525,3900,6175,0.4999999615384645,305,220,1.0,3
197,umbreon,dark,,synchronize,inner-focus,,95,65,110,60,130,65,27.0,1.0,525,10450,12350,1.0833331527778078,190,335,1.0,1
198,murkrow,dark,flying,insomnia,super-luck,prankster,60,85,42,85,42,91,2.1,0.5,405,2520,2520,0.999999882352955,261,144,1.0,2
199,slowking,water,psychic,oblivious,own-tempo,regenerator,95,75,80,100,110,30,79.5,2.0,490,7600,10450,0.7499999250000075,205,285,1.0,0
200,misdreavus,ghost,,levitate,,,60,60,60,85,85,85,1.0,0.7,435,3600,5100,0.7058822698962035,230,205,1.0,2
201,unown,psychic,,levitate,,,48,72,48,72,48,48,5.0,0.5,336,2304,2304,0.9999998611111304,192,144,1.0,0
202,wobbuffet,psychic,,shadow-tag,telepathy,,190,33,58,33,58,33,28.5,1.3,405,11020,11020,0.9999996969697887,99,306,1.0,0
203,girafarig,normal,psychic,inner-focus,early-bird,sap-sipper,70,80,65,90,65,85,41.5,1.5,455,4550,4550,0.8888887901234678,255,200,1.0,2
204,pineco,bug,,sturdy,overcoat,,50,65,90,35,35,15,7.2,0.6,290,4500,1750,1.8571423265307636,115,175,1.0,0
205,forretress,bug,steel,sturdy,overcoat,,75,90,140,60,60,40,125.8,1.2,465,10500,4500,1.4999997500000415,190,275,1.0,0
206,dunsparce,normal,,serene-grace,run-away,rattled,100,70,70,65,65,45,14.0,1.5,415,7000,6500,1.076922911242629,180,235,1.0,0
207,gligar,ground,flying,hyper-cutter,sand-veil,immunity,65,75,105,35,65,85,64.8,1.1,430,6825,4225,2.1428565306124194,195,235,1.0,2
208,steelix,steel,ground,rock-head,sturdy,sheer-force,75,85,200,55,65,30,400.0,9.2,510,15000,4875,1.5454542644628608,170,340,1.0,0
209,snubbull,fairy,,intimidate,run-away,rattled,60,80,50,40,40,30,7.8,0.6,300,3000,2400,1.999999500000125,150,150,1.0,0
210,granbull,fairy,,intimidate,quick-feet,rattled,90,120,75,60,60,45,48.7,1.4,450,6750,5400,1.9999996666667221,225,225,1.0,0
211,qwilfish,water,poison,poison-point,swift-swim,intimidate,65,95,85,55,55,85,3.9,0.5,440,5525,3575,1.7272724132231976,235,205,1.0,2
212,scizor,bug,steel,swarm,technician,light-metal,70,130,100,55,80,65,118.0,1.8,500,7000,5600,2.3636359338843755,250,250,1.0,1
213,shuckle,bug,rock,sturdy,gluttony,contrary,20,10,230,10,230,5,20.5,0.6,505,4600,4600,0.9999990000010001,25,480,1.0,0
214,heracross,bug,fighting,swarm,guts,moxie,80,125,75,40,95,85,54.0,1.5,500,6000,7600,3.124999218750195,250,250,1.0,2
215,sneasel,dark,ice,inner-focus,keen-eye,pickpocket,55,95,55,35,75,115,28.0,0.9,430,3025,4125,2.7142849387757315,245,185,1.0,3
216,teddiursa,normal,,pickup,quick-feet,honey-gather,60,80,50,50,50,40,8.8,0.6,330,3000,3000,1.599999680000064,170,160,1.0,0
217,ursaring,normal,,guts,quick-feet,unnerve,90,130,75,75,75,55,125.8,1.8,500,6750,6750,1.733333102222253,260,240,1.0,1
218,slugma,fire,,magma-armor,flame-body,weak-armor,40,40,40,70,40,20,35.0,0.7,250,1600,1600,0.57142848979593,130,120,1.0,0
219,magcargo,fire,rock,magma-armor,flame-body,weak-armor,60,50,120,90,80,30,55.0,0.8,430,7200,4800,0.5555554938271673,170,260,1.0,0
220,swinub,ice,ground,oblivious,snow-cloak,thick-fat,50,50,40,30,30,50,6.5,0.4,250,2000,1500,1.6666661111112964,130,120,1.0,1
221,piloswine,ice,ground,oblivious,snow-cloak,thick-fat,100,100,80,60,60,50,55.8,1.1,450,8000,6000,1.666666388888935,210,240,1.0,1
222,corsola,water,rock,hustle,natural-cure,regenerator,65,55,95,65,95,35,5.0,0.6,410,6175,6175,0.8461537159763514,155,255,1.0,0
223,remoraid,water,,hustle,sniper,moody,35,65,35,65,35,65,12.0,0.6,300,1225,1225,0.9999998461538697,195,105,1.0,1
224,octillery,water,,suction-cups,sniper,moody,75,105,75,105,75,45,28.5,0.9,480,5625,5625,0.9999999047619138,255,225,1.0,0
225,delibird,ice,flying,vital-spirit,hustle,insomnia,45,55,45,65,45,75,16.0,0.9,330,2025,2025,0.8461537159763514,195,135,1.0,1
226,mantine,water,flying,swift-swim,water-absorb,water-veil,85,40,70,80,140,70,220.0,2.1,485,5950,11900,0.4999999375000078,190,295,1.0,1
227,skarmory,steel,flying,keen-eye,sturdy,weak-armor,65,80,140,40,70,70,50.5,1.7,465,9100,4550,1.999999500000125,190,275,1.0,1
228,houndour,dark,fire,early-bird,flash-fire,unnerve,45,60,30,80,50,65,10.8,0.6,330,1350,2250,0.7499999062500117,205,125,1.0,1
229,houndoom,dark,fire,early-bird,flash-fire,unnerve,75,90,50,110,80,95,35.0,1.4,500,3750,6000,0.8181817438016596,295,205,1.0,2
230,kingdra,water,dragon,swift-swim,sniper,damp,75,95,95,95,95,85,152.0,1.8,540,7125,7125,0.9999998947368531,275,265,1.0,2
231,phanpy,ground,,pickup,sand-veil,,90,60,60,40,40,40,33.5,0.5,330,5400,3600,1.4999996250000935,140,190,1.0,0
232,donphan,ground,,sturdy,sand-veil,,90,120,120,60,60,50,120.0,1.1,500,10800,5400,1.9999996666667221,230,270,1.0,1
233,porygon2,normal,,trace,download,analytic,85,80,90,105,95,60,32.5,0.6,515,7650,8075,0.7619046893424105,245,270,1.0,1
234,stantler,normal,,intimidate,frisk,sap-sipper,73,95,62,85,65,85,71.2,1.4,465,4526,4745,1.1176469273356555,265,200,1.0,2
235,smeargle,normal,,own-tempo,technician,moody,55,20,35,20,45,75,58.0,1.2,250,1925,2475,0.9999995000002501,115,135,1.0,1
236,tyrogue,fighting,,guts,steadfast,vital-spirit,35,35,35,35,35,35,21.0,0.7,210,1225,1225,0.9999997142857958,105,105,1.0,0
237,hitmontop,fighting,,intimidate,technician,steadfast,50,95,95,35,110,70,48.0,1.4,455,4750,5500,2.7142849387757315,200,255,1.0,1
238,smoochum,ice,psychic,oblivious,forewarn,hydration,45,30,15,85,65,65,6.0,0.4,305,675,2925,0.35294113494810175,180,125,1.0,1
239,elekid,electric,,static,vital-spirit,,45,63,37,65,55,95,23.5,0.6,360,1665,2475,0.9692306201183661,223,137,1.0,2
240,magby,fire,,flame-body,vital-spirit,,45,75,37,70,55,83,21.4,0.7,365,1665,2475,1.0714284183673688,228,137,1.0,2
241,miltank,normal,,thick-fat,scrappy,sap-sipper,95,80,105,40,70,100,75.5,1.2,490,9975,6650,1.999999500000125,220,270,1.0,3
242,blissey,normal,,natural-cure,serene-grace,healer,255,10,10,75,135,55,46.8,1.5,540,2550,34425,0.1333333155555579,140,400,1.0,1
243,raikou,electric,,pressure,inner-focus,,90,85,75,115,100,115,178.0,1.9,580,6750,9000,0.7391303705104025,315,265,1.0,3
244,entei,fire,,pressure,inner-focus,,115,115,85,90,75,100,198.0,2.1,580,9775,8625,1.2777776358024848,305,275,1.0,3
245,suicune,water,,pressure,inner-focus,,100,75,115,90,115,85,187.0,2.0,580,11500,11500,0.833333240740751,250,330,1.0,2
246,larvitar,rock,ground,guts,sand-veil,,50,64,50,45,50,41,72.0,0.6,300,2500,2500,1.4222219061729096,150,150,1.0,0
247,pupitar,rock,ground,shed-skin,,,70,84,70,65,70,51,152.0,1.2,410,4900,4900,1.2923074934911547,200,210,1.0,1
248,tyranitar,rock,dark,sand-stream,unnerve,,100,134,110,95,100,61,202.0,2.0,600,11000,10000,1.410526167313035,290,310,1.0,1
249,lugia,psychic,flying,pressure,multiscale,,106,90,130,90,154,110,216.0,5.2,680,13780,16324,0.9999998888889012,290,390,1.0,3
250,ho-oh,fire,flying,pressure,regenerator,,106,130,90,110,154,90,199.0,3.8,680,9540,16324,1.181818074380175,330,350,1.0,2
251,celebi,psychic,grass,natural-cure,,,100,100,100,100,100,100,5.0,0.6,600,10000,10000,0.9999999000000099,300,300,1.0,3
252,treecko,grass,,overgrow,unburden,,40,45,35,65,55,70,5.0,0.5,310,1400,2200,0.6923075857988329,180,130,1.0,1
253,grovyle,grass,,overgrow,unburden,,50,65,45,85,65,95,21.6,0.9,405,2250,3250,0.7647057923875538,245,160,1.0,2
254,sceptile,grass,,overgrow,unburden,,70,85,65,105,85,120,52.2,1.7,530,4550,5950,0.8095237324263111,310,220,1.0,4
255,torchic,fire,,blaze,speed-boost,,45,60,40,70,50,45,2.5,0.4,310,1800,2250,0.857142734693895,175,135,1.0,0
256,combusken,fire,fighting,blaze,speed-boost,,60,85,60,85,60,55,19.5,0.9,405,3600,3600,0.999999882352955,225,180,1.0,1
257,blaziken,fire,fighting,blaze,speed-boost,,80,120,70,110,70,80,52.0,1.9,530,5600,5600,1.0909089917355461,310,220,1.0,2
258,mudkip,water,,torrent,damp,,50,70,50,50,50,40,7.6,0.4,310,2500,2500,1.399999720000056,160,150,1.0,0
259,marshtomp,water,ground,torrent,damp,,70,85,70,60,70,50,28.0,0.7,405,4900,4900,1.416666430555595,195,210,1.0,1
260,swampert,water,ground,torrent,damp,,100,110,90,85,90,60,81.9,1.5,535,9000,9000,1.2941174948097065,255,280,1.0,1
261,poochyena,dark,,run-away,quick-feet,rattled,35,55,35,30,30,35,13.6,0.5,220,1225,1050,1.833332722222426,120,100,1.0,0
262,mightyena,dark,,intimidate,quick-feet,moxie,70,90,70,60,60,70,37.0,1.0,420,4900,4200,1.4999997500000415,220,200,1.0,1
263,zigzagoon,normal,,pickup,gluttony,quick-feet,38,30,41,30,41,60,17.5,0.4,240,1558,1558,0.9999996666667778,120,120,1.0,1
264,linoone,normal,,pickup,gluttony,quick-feet,78,70,61,50,61,100,32.5,0.5,420,4758,4758,1.399999720000056,220,200,1.0,3
265,wurmple,bug,,shield-dust,run-away,,45,45,35,20,30,20,3.6,0.3,195,1575,1350,2.2499988750005624,85,110,1.0,0
266,silcoon,bug,,shed-skin,,,50,35,55,25,25,15,10.0,0.6,205,2750,1250,1.399999440000224,75,130,1.0,0
267,beautifly,bug,flying,swarm,rivalry,,60,70,50,100,50,65,28.4,1.0,395,3000,3000,0.6999999300000069,235,160,1.0,1
268,cascoon,bug,,shed-skin,,,50,35,55,25,25,15,11.5,0.7,205,2750,1250,1.399999440000224,75,130,1.0,0
269,dustox,bug,poison,shield-dust,compound-eyes,,60,50,70,50,90,65,31.6,1.2,385,4200,5400,0.99999980000004,165,220,1.0,1
270,lotad,water,grass,swift-swim,rain-dish,own-tempo,40,30,30,40,50,30,2.6,0.5,220,1200,2000,0.7499998125000468,100,120,1.0,0
271,lombre,water,grass,swift-swim,rain-dish,own-tempo,60,50,50,60,70,50,32.5,1.2,340,3000,4200,0.8333331944444675,160,180,1.0,1
272,ludicolo,water,grass,swift-swim,rain-dish,own-tempo,80,70,70,90,100,70,55.0,1.5,480,5600,8000,0.7777776913580343,230,250,1.0,1
273,seedot,grass,,chlorophyll,early-bird,pickpocket,40,40,50,30,30,30,4.0,0.5,220,2000,1200,1.333332888889037,100,120,1.0,0
274,nuzleaf,grass,dark,chlorophyll,early-bird,pickpocket,70,70,40,60,40,60,28.0,1.0,340,2800,2800,1.1666664722222546,190,150,1.0,1
275,shiftry,grass,dark,chlorophyll,wind-rider,pickpocket,90,100,60,90,60,80,59.6,1.3,480,5400,5400,1.1111109876543346,270,210,1.0,2
276,taillow,normal,flying,guts,scrappy,,40,55,30,30,30,85,2.3,0.3,270,1200,1200,1.833332722222426,170,100,1.0,2
277,swellow,normal,flying,guts,scrappy,,60,85,60,75,50,125,19.8,0.7,455,3600,3000,1.1333331822222423,285,170,1.0,4
278,wingull,water,flying,keen-eye,hydration,rain-dish,40,30,30,55,30,85,9.5,0.6,270,1200,1200,0.5454544462810097,170,100,1.0,2
279,pelipper,water,flying,keen-eye,drizzle,rain-dish,60,50,100,95,70,65,28.0,1.2,440,6000,4200,0.526315734072028,210,230,1.0,1
280,ralts,psychic,fairy,synchronize,trace,telepathy,28,25,25,45,35,40,6.6,0.4,198,700,980,0.5555554320987929,110,88,1.0,0
281,kirlia,psychic,fairy,synchronize,trace,telepathy,38,35,35,65,55,50,20.2,0.8,278,1330,2090,0.5384614556213145,150,128,1.0,1
282,gardevoir,psychic,fairy,synchronize,trace,telepathy,68,65,65,125,115,80,48.4,1.6,518,4420,7820,0.5199999584000033,270,248,1.0,2
283,surskit,bug,water,swift-swim,rain-dish,,40,30,32,50,52,65,1.7,0.5,269,1280,2080,0.5999998800000239,145,124,1.0,1
284,masquerain,bug,flying,intimidate,unnerve,,70,60,62,100,82,80,3.6,0.8,454,4340,5740,0.599999940000006,240,214,1.0,2
285,shroomish,grass,,effect-spore,poison-heal,quick-feet,60,40,60,40,60,35,4.5,0.4,295,3600,3600,0.9999997500000625,115,180,1.0,0
286,breloom,grass,fighting,effect-spore,poison-heal,technician,60,130,80,60,60,70,39.2,1.2,460,4800,3600,2.1666663055556157,260,200,1.0,1
287,slakoth,normal,,truant,,,60,60,60,35,35,30,24.0,0.8,280,3600,2100,1.7142852244899358,125,155,1.0,0
288,vigoroth,normal,,vital-spirit,,,80,80,80,55,55,90,46.5,1.4,440,6400,4400,1.4545451900826927,225,215,1.0,2
289,slaking,normal,,truant,,,150,160,100,95,65,100,130.5,2.0,670,15000,9750,1.6842103490304896,355,315,1.0,3
290,nincada,bug,ground,compound-eyes,run-away,,31,45,90,30,30,40,5.5,0.5,266,2790,930,1.4999995000001667,115,151,1.0,0
291,ninjask,bug,flying,speed-boost,infiltrator,,61,90,45,50,50,160,12.0,0.8,456,2745,3050,1.799999640000072,300,156,1.0,4
292,shedinja,bug,ghost,wonder-guard,,,1,90,45,30,30,40,1.2,0.8,236,45,30,2.9999990000003334,160,76,1.0,0
293,whismur,normal,,soundproof,rattled,,64,51,23,51,23,28,16.3,0.6,240,1472,1472,0.999999803921607,130,110,1.0,0
294,loudred,normal,,soundproof,scrappy,,84,71,43,71,43,48,40.5,1.0,360,3612,3612,0.9999998591549494,190,170,1.0,0
295,exploud,normal,,soundproof,scrappy,,104,91,63,91,73,68,84.0,1.5,490,6552,7592,0.9999998901099022,250,240,1.0,1
296,makuhita,fighting,,thick-fat,guts,sheer-force,72,60,30,20,30,25,86.4,1.0,237,2160,2160,2.99999850000075,105,132,1.0,0
297,hariyama,fighting,,thick-fat,guts,sheer-force,144,120,60,40,60,50,253.8,2.3,474,8640,8640,2.999999250000187,210,264,1.0,1
298,azurill,normal,fairy,thick-fat,huge-power,sap-sipper,50,20,40,20,40,20,2.0,0.2,190,2000,2000,0.9999995000002501,60,130,1.0,0
299,nosepass,rock,,sturdy,magnet-pull,sand-force,30,45,135,45,90,30,97.0,1.0,375,4050,2700,0.9999997777778271,120,255,1.0,0
300,skitty,normal,,cute-charm,normalize,wonder-skin,50,45,45,35,35,50,11.0,0.6,260,2250,1750,1.2857139183674517,130,130,1.0,1
301,delcatty,normal,,cute-charm,normalize,wonder-skin,70,65,65,55,55,90,32.6,1.1,400,4550,3850,1.1818179669421878,210,190,1.0,2
302,sableye,dark,ghost,keen-eye,stall,prankster,50,75,75,65,65,50,11.0,0.5,380,3750,3250,1.1538459763313882,190,190,1.0,1
303,mawile,steel,fairy,hyper-cutter,intimidate,sheer-force,50,85,85,55,55,50,11.5,0.6,380,4250,2750,1.5454542644628608,190,190,1.0,1
304,aron,steel,rock,sturdy,rock-head,heavy-metal,50,70,100,40,40,30,60.0,0.4,330,5000,2000,1.7499995625001092,140,190,1.0,0
305,lairon,steel,rock,sturdy,rock-head,heavy-metal,60,90,140,50,50,40,120.0,0.9,430,8400,3000,1.799999640000072,180,250,1.0,0
306,aggron,steel,rock,sturdy,rock-head,heavy-metal,70,110,180,60,60,50,360.0,2.1,530,12600,4200,1.8333330277778286,220,310,1.0,1
307,meditite,fighting,psychic,pure-power,telepathy,,30,40,55,40,55,60,11.2,0.6,280,1650,1650,0.9999997500000625,140,140,1.0,1
308,medicham,fighting,psychic,pure-power,telepathy,,60,60,75,60,75,80,31.5,1.3,410,4500,4500,0.9999998333333611,200,210,1.0,2
309,electrike,electric,,static,lightning-rod,minus,40,45,40,65,40,65,15.2,0.6,295,1600,1600,0.6923075857988329,175,120,1.0,1
310,manectric,electric,,static,lightning-rod,minus,70,75,60,105,60,105,40.2,1.5,475,4200,4200,0.7142856462585099,285,190,1.0,3
311,plusle,electric,,plus,lightning-rod,,60,50,40,85,75,95,4.2,0.4,405,2400,4500,0.5882352249135029,230,175,1.0,2
312,minun,electric,,minus,volt-absorb,,60,40,50,75,85,95,4.2,0.4,405,3000,5100,0.5333332622222317,210,195,1.0,2
313,volbeat,bug,,illuminate,swarm,prankster,65,73,75,47,85,85,17.7,0.7,430,4875,5525,1.553191158895498,205,225,1.0,2
314,illumise,bug,,oblivious,tinted-lens,prankster,65,47,75,73,85,85,17.7,0.6,430,4875,5525,0.6438355282417084,205,225,1.0,2
315,roselia,grass,poison,natural-cure,poison-point,leaf-guard,50,60,45,100,80,65,2.0,0.3,400,2250,4000,0.599999940000006,225,175,1.0,1
316,gulpin,poison,,liquid-ooze,sticky-hold,gluttony,70,43,53,43,53,40,10.3,0.4,302,3710,3710,0.9999997674419144,126,176,1.0,0
317,swalot,poison,,liquid-ooze,sticky-hold,gluttony,100,73,83,73,83,55,80.0,1.7,467,8300,8300,0.9999998630137173,201,266,1.0,1
318,carvanha,water,dark,rough-skin,speed-boost,,45,90,20,65,20,65,20.8,0.8,305,900,900,1.3846151715976658,220,85,1.0,1
319,sharpedo,water,dark,rough-skin,speed-boost,,70,120,40,95,40,95,88.8,1.8,460,2800,2800,1.263157761772867,310,150,1.0,2
320,wailmer,water,,water-veil,oblivious,pressure,130,70,35,70,35,60,130.0,2.0,400,4550,4550,0.9999998571428775,200,200,1.0,1
321,wailord,water,,water-veil,oblivious,pressure,170,90,45,90,45,60,398.0,14.5,500,7650,7650,0.9999998888889012,240,260,1.0,1
322,numel,fire,ground,oblivious,simple,own-tempo,60,60,40,65,45,35,24.0,0.7,305,2400,2700,0.9230767810651106,160,145,1.0,0
323,camerupt,fire,ground,magma-armor,solid-rock,anger-point,70,100,70,105,75,40,220.0,1.9,460,4900,5250,0.9523808616780132,245,215,1.0,0
324,torkoal,fire,,white-smoke,drought,shell-armor,70,85,140,85,70,20,80.4,0.5,470,9800,4900,0.999999882352955,190,280,1.0,0
325,spoink,psychic,,thick-fat,own-tempo,gluttony,60,25,35,70,80,60,30.6,0.7,330,2100,4800,0.35714280612245625,155,175,1.0,1
326,grumpig,psychic,,thick-fat,own-tempo,gluttony,80,45,65,90,110,80,71.5,0.9,470,5200,8800,0.4999999444444506,215,255,1.0,2
327,spinda,normal,,own-tempo,tangled-feet,contrary,60,60,60,60,60,60,5.0,1.1,360,3600,3600,0.9999998333333611,180,180,1.0,1
328,trapinch,ground,,hyper-cutter,arena-trap,sheer-force,45,100,45,45,45,10,15.0,0.7,290,2025,2025,2.2222217283951715,155,135,1.0,0
329,vibrava,ground,dragon,levitate,,,50,70,50,50,50,70,15.3,1.1,340,2500,2500,1.399999720000056,190,150,1.0,1
330,flygon,ground,dragon,levitate,,,80,100,80,80,80,100,82.0,2.0,520,6400,6400,1.2499998437500195,280,240,1.0,3
331,cacnea,grass,,sand-veil,water-absorb,,50,85,40,85,40,35,51.3,0.4,335,2000,2000,0.999999882352955,205,130,1.0,0
332,cacturne,grass,dark,sand-veil,water-absorb,,70,115,60,115,60,55,77.4,1.3,475,4200,4200,0.9999999130434858,285,190,1.0,1
333,swablu,normal,flying,natural-cure,cloud-nine,,45,40,60,40,75,50,1.2,0.4,310,2700,3375,0.9999997500000625,130,180,1.0,1
334,altaria,dragon,flying,natural-cure,cloud-nine,,75,70,90,70,105,80,20.6,1.1,490,6750,7875,0.9999998571428775,220,270,1.0,2
335,zangoose,normal,,immunity,toxic-boost,,73,115,60,60,60,90,40.3,1.3,458,4380,4380,1.9166663472222754,265,193,1.0,2
336,seviper,poison,,shed-skin,infiltrator,,73,100,60,100,60,65,52.5,2.7,458,4380,4380,0.9999999000000099,265,193,1.0,1
337,lunatone,rock,psychic,levitate,,,90,55,65,95,85,70,168.0,1.0,460,5850,7650,0.5789473074792307,220,240,1.0,1
338,solrock,rock,psychic,levitate,,,90,95,85,55,65,70,154.0,1.2,460,7650,5850,1.7272724132231976,220,240,1.0,1
339,barboach,water,ground,oblivious,anticipation,hydration,50,48,43,46,41,60,1.9,0.4,288,2150,2050,1.0434780340265142,154,134,1.0,1
340,whiscash,water,ground,oblivious,anticipation,hydration,110,78,73,76,71,60,23.6,0.9,468,8030,7810,1.0263156544321508,214,254,1.0,1
341,corphish,water,,hyper-cutter,shell-armor,adaptability,43,80,65,50,35,35,11.5,0.6,308,2795,1505,1.599999680000064,165,143,1.0,0
342,crawdaunt,water,dark,hyper-cutter,shell-armor,adaptability,63,120,85,90,55,55,32.8,1.1,468,5355,3465,1.3333331851852015,265,203,1.0,1
343,baltoy,ground,psychic,levitate,,,40,40,55,40,70,55,21.5,0.5,300,2200,2800,0.9999997500000625,135,165,1.0,1
344,claydol,ground,psychic,levitate,,,60,70,105,70,120,75,108.0,1.5,500,6300,7200,0.9999998571428775,215,285,1.0,1
345,lileep,rock,grass,suction-cups,storm-drain,,66,41,77,61,87,23,23.8,1.0,355,5082,5742,0.6721310373555676,125,230,1.0,0
346,cradily,rock,grass,suction-cups,storm-drain,,86,81,97,81,107,43,60.4,1.5,495,8342,9202,0.9999998765432251,205,290,1.0,0
347,anorith,rock,bug,battle-armor,swift-swim,,45,95,50,40,50,75,12.5,0.7,355,2250,2250,2.374999406250148,210,145,1.0,1
348,armaldo,rock,bug,battle-armor,swift-swim,,75,125,100,70,80,45,68.2,1.5,495,7500,6000,1.7857140306122812,240,255,1.0,0
349,feebas,water,,swift-swim,oblivious,adaptability,20,15,20,10,55,80,7.4,0.6,200,400,1100,1.4999985000015001,105,95,1.0,2
350,milotic,water,,marvel-scale,competitive,cute-charm,95,60,79,100,125,81,162.0,6.2,540,7505,11875,0.599999940000006,241,299,1.0,2
351,castform,normal,,forecast,,,70,70,70,70,70,70,0.8,0.3,420,4900,4900,0.9999998571428775,210,210,1.0,1
352,kecleon,normal,,color-change,protean,,60,90,70,60,120,40,22.0,1.0,440,4200,7200,1.4999997500000415,190,250,1.0,0
353,shuppet,ghost,,insomnia,frisk,cursed-body,44,75,35,63,33,45,2.3,0.6,295,1540,1452,1.1904760015117457,183,112,1.0,0
354,banette,ghost,,insomnia,frisk,cursed-body,64,115,65,83,63,65,12.5,1.1,455,4160,4032,1.3855420017419275,263,192,1.0,1
355,duskull,ghost,,levitate,frisk,,20,40,90,30,90,25,15.0,0.8,295,1800,1800,1.333332888889037,95,200,1.0,0
356,dusclops,ghost,,pressure,frisk,,40,70,130,60,130,25,30.6,1.6,455,5200,5200,1.1666664722222546,155,300,1.0,0
357,tropius,grass,flying,chlorophyll,solar-power,harvest,99,68,83,72,87,51,100.0,2.0,460,8217,8613,0.9444443132716231,191,269,1.0,1
358,chimecho,psychic,,levitate,,,75,50,80,95,90,65,1.0,0.6,455,6000,6750,0.526315734072028,210,245,1.0,1
359,absol,dark,,pressure,super-luck,justified,65,130,60,75,60,75,47.0,1.2,465,3900,3900,1.733333102222253,280,185,1.0,1
360,wynaut,psychic,,shadow-tag,telepathy,,95,23,48,23,48,23,14.0,0.6,260,4560,4560,0.9999995652175804,69,191,1.0,0
361,snorunt,ice,,inner-focus,ice-body,moody,50,50,50,50,50,50,16.8,0.7,300,2500,2500,0.99999980000004,150,150,1.0,1
362,glalie,ice,,inner-focus,ice-body,moody,80,80,80,80,80,80,256.5,1.5,480,6400,6400,0.9999998750000156,240,240,1.0,2
363,spheal,ice,water,thick-fat,ice-body,oblivious,70,40,50,55,50,25,39.5,0.8,290,3500,3500,0.7272725950413463,120,170,1.0,0
364,sealeo,ice,water,thick-fat,ice-body,oblivious,90,60,70,75,70,45,87.6,1.1,410,6300,6300,0.7999998933333475,180,230,1.0,0
365,walrein,ice,water,thick-fat,ice-body,oblivious,110,80,90,95,90,65,150.6,1.4,530,9900,9900,0.8421051745152448,240,290,1.0,1
366,clamperl,water,,shell-armor,rattled,,35,64,85,74,55,32,52.5,0.4,345,2975,1925,0.8648647479912502,170,175,1.0,0
367,huntail,water,,swift-swim,water-veil,,55,104,105,94,75,52,27.0,1.7,485,5775,4125,1.1063828610231,250,235,1.0,1
368,gorebyss,water,,swift-swim,hydration,,55,84,105,114,75,52,22.6,1.8,485,5775,4125,0.7368420406278912,250,235,1.0,1
369,relicanth,water,rock,swift-swim,rock-head,sturdy,100,90,130,45,65,55,23.4,1.0,485,13000,6500,1.9999995555556542,190,295,1.0,1
370,luvdisc,water,,swift-swim,hydration,,43,30,55,40,65,97,8.7,0.6,330,2365,2795,0.7499998125000468,167,163,1.0,2
371,bagon,dragon,,rock-head,sheer-force,,45,75,60,40,30,50,42.1,0.6,300,2700,1350,1.874999531250117,165,135,1.0,1
372,shelgon,dragon,,rock-head,overcoat,,65,95,100,60,50,50,110.5,1.1,420,6500,3250,1.5833330694444883,205,215,1.0,1
373,salamence,dragon,flying,intimidate,moxie,,95,135,80,110,80,100,102.6,1.5,600,7600,7600,1.2272726157024894,345,255,1.0,3
374,beldum,steel,psychic,clear-body,light-metal,,40,55,80,35,60,30,95.2,0.6,300,3200,2400,1.5714281224491078,120,180,1.0,0
375,metang,steel,psychic,clear-body,light-metal,,60,75,100,55,80,50,202.5,1.2,420,6000,4800,1.3636361157025243,180,240,1.0,1
376,metagross,steel,psychic,clear-body,light-metal,,80,135,130,95,90,70,550.0,1.6,600,10400,7200,1.4210524819944754,300,300,1.0,1
377,regirock,rock,,clear-body,sturdy,,80,100,200,50,100,50,230.0,1.7,580,16000,8000,1.99999960000008,200,380,1.0,1
378,regice,ice,,clear-body,ice-body,,80,50,100,100,200,50,175.0,1.8,580,8000,16000,0.49999995000000497,200,380,1.0,1
379,registeel,steel,,clear-body,light-metal,,80,75,150,75,150,50,205.0,1.9,580,12000,12000,0.9999998666666844,200,380,1.0,1
380,latias,dragon,psychic,levitate,,,80,80,90,110,130,110,40.0,1.4,600,7200,10400,0.7272726611570308,300,300,1.0,3
381,latios,dragon,psychic,levitate,,,80,90,80,130,110,110,60.0,2.0,600,6400,8800,0.6923076390532585,330,270,1.0,3
382,kyogre,water,,drizzle,,,100,100,90,150,140,90,352.0,4.5,670,9000,14000,0.6666666222222252,340,330,1.0,2
383,groudon,ground,,drought,,,100,150,140,100,90,90,950.0,3.5,670,14000,9000,1.499999850000015,340,330,1.0,2
